Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
02477,27,2,1,3.7350000000000003,3.205,5.5,5.67
02479,39,2,1,2.5750000000000006,4.3149999999999995,2.95,4.279999999999999
02494,22,2,1,4.7,4.77,5.34,4.55
02506,43,1,3,4.21,NA,5.35,NA
02509,58,1,3,4.455,5.09,4.7,6.25
02510,49,1,3,3.455,NA,5.24,NA
02519,59,1,3,5.26,5.005,4.38,5.880000000000001
02532,61,1,3,NA,4.77,NA,6.06
02538,60,1,3,5.795,NA,5.33,NA
02548,70,1,3,NA,4.029999999999999,NA,4.05
02550,75,1,3,6.11,4.615,5.64,6.27
02556,68,1,3,5.365,4.03,5.880000000000001,5.76
02564,63,1,3,NA,4.76,5.74,5.3100000000000005
02571,41,1,1,2.175,4.6,3.5300000000000002,5.91
02581,47,1,1,5.09,4.84,4.8100000000000005,5.72
02587,59,1,1,6.04,5.315,7.05,5.23
02588,44,1,1,5.245,4.285,5.24,5.9399999999999995
02595,74,1,1,NA,5.5,NA,5.34
02601,39,1,1,NA,3.83,NA,5.27
02604,52,1,1,5.155,4.2,5.21,4.94
02615,71,1,1,4.9,5.28,3.54,4.76
02618,60,1,1,4.85,4.62,5.07,5.32
02626,60,1,1,4.99,5.19,5.11,5.8
02627,78,1,1,7.35,5.55,7.39,5.489999999999999
02630,66,1,1,5.635,5.77,NA,6.83
02634,43,1,1,NA,3.335,NA,6.16
02640,60,1,1,5.325,5.475,6.65,5.55
02641,60,1,1,NA,4.995,NA,4.4
02642,70,1,1,5.01,5.34,5.65,5.67
02650,53,1,1,4.535,4.765,4.75,4.25
02651,27,1,1,3.7350000000000003,5.005,5.39,4.87
02655,59,1,1,4.76,NA,5.32,6.2
02660,68,1,1,4.385000000000001,5.705,5.529999999999999,5.24
02662,71,1,1,5.0649999999999995,5.965,5.1,6.540000000000001
02665,61,1,1,5.765,4.675,6.23,6.15
02666,60,1,1,3.34,4.1,3.49,4.55
02667,55,1,1,5.19,3.94,6.24,4.4399999999999995
02678,68,1,1,3.38,5.16,4.4,6.49
02679,62,1,1,2.42,NA,3.25,NA
02683,61,1,1,NA,5.09,NA,6.89
02685,61,1,1,NA,7.665,NA,5.18
02687,69,1,1,4.67,4.245,4.02,5.41
02694,57,1,1,5.145,NA,5.04,NA
02700,56,1,1,1.45,5.12,4.02,4.880000000000001
02704,68,1,1,4.515,4.79,4.98,4.84
02715,65,2,3,5.869999999999999,5.44,5.6,5.96
02719,72,2,3,4.91,NA,3.3899999999999997,NA
02720,76,2,3,5.445,3.305,4.82,4.12
02724,64,2,3,4.36,5.71,6.29,5.95
02732,56,2,3,5.54,5.135,5.779999999999999,5.88
02735,46,2,3,NA,5.43,NA,6.6899999999999995
02736,68,2,3,4.245,NA,6.3,NA
02746,73,2,3,NA,3.865,5.54,3.95
02747,60,2,3,4.68,5.22,4.45,5.88
02748,54,2,3,5.275,3.85,5.18,5.04
02752,40,2,3,3.41,4.1,4.21,4.38
02761,74,2,3,5.635,5.93,4.76,6.3
02766,38,2,3,5.325,4.6850000000000005,5.8100000000000005,5.04
02772,64,2,3,NA,5.46,NA,6.5600000000000005
02774,34,2,3,NA,4.75,NA,5.4399999999999995
02775,58,2,3,5.515,NA,5.1,NA
02779,78,2,3,NA,5.33,NA,5.34
02781,55,2,3,5.4350000000000005,5.155,5.3,5.8
02782,59,2,3,4.895,3.895,4.96,4.09
02783,36,2,3,4.72,5.485,3.99,5.93
02785,58,2,3,5.545,NA,5.12,NA
02794,51,2,3,5.4399999999999995,5.13,6.290000000000001,5.720000000000001
02800,59,2,3,2.92,3.3800000000000003,4.220000000000001,3.9599999999999995
02806,59,2,3,5.045,4.705,4.779999999999999,6.05
02807,65,2,3,5.27,NA,5.03,NA
02814,39,2,3,3.955,NA,5.970000000000001,5.0600000000000005
02815,28,2,3,NA,5.285,NA,5.26
02825,71,2,3,NA,3.7249999999999996,NA,5.34
02826,33,2,3,4.44,5.3100000000000005,5.01,5.32
02827,55,2,3,5.135,NA,5.59,NA
02828,22,2,3,6.37,3.1,5.79,4.8100000000000005
02829,47,2,3,4.39,5.275,4.68,4.74
02834,55,2,3,5.16,5.135,6.75,5.86
02835,76,2,3,NA,4.87,5.57,4.51
02836,72,2,3,NA,6.17,NA,4.85
02840,69,2,3,4.075,6.27,4.27,4.71
02847,77,2,3,7.03,4.645,4.59,5.380000000000001
02855,42,2,3,4.8,4.720000000000001,4.88,4.95
02857,62,2,1,4.965,4.73,4.21,5.1
02861,42,2,1,5.175,5.285,6.08,5.42
02868,44,2,1,3.6100000000000003,3.5149999999999997,3.46,3.65
02869,32,2,1,NA,5.355,NA,5.44
02872,40,2,1,3.98,3.975,4.3100000000000005,4.99
02878,24,2,1,4.29,5.23,4.52,5.85
02884,67,2,1,4.6,NA,5.84,NA
02886,66,2,1,3.4799999999999995,NA,5.66,6.21
02890,25,2,1,NA,NA,5.3100000000000005,NA
02899,31,2,1,4.53,4.66,5.82,5.97
02910,57,2,1,4.36,5.215,4.93,5.48
02912,27,2,1,4.285,2.9349999999999996,5.18,5.94
02919,41,2,1,3.785,4.65,6.84,5.91
02921,49,2,1,4.9,4.875,3.6399999999999997,3.41
02924,47,2,1,4.245,4.29,5.44,4.37
02926,20,2,1,5.11,2.37,6.07,4.75
02933,25,2,1,3.015,5.05,4.17,5.15
02937,40,2,1,3.225,NA,3.75,NA
02937,39,2,1,NA,3.65,NA,4.09
02938,62,2,1,5.875,4.455,3.27,3.8099999999999996
02940,66,2,1,6.130000000000001,5.965,6.84,6.07
02941,51,2,1,5.0649999999999995,4.295,4.45,4.35
02942,62,2,1,4.92,4.615,4.13,4.3
02944,45,2,1,3.76,NA,4.630000000000001,NA
02945,33,2,1,3.9949999999999997,4.36,4.2,4.84
02947,48,2,1,2.535,4.48,4.1899999999999995,5.52
02948,64,2,1,5.215,NA,6.01,6.2
02952,37,2,1,NA,2.66,NA,5.77
02954,75,2,1,5.03,4.66,5.970000000000001,4.84
02959,54,2,1,5.125,NA,5.0600000000000005,NA
02960,34,2,1,5.5,4.87,6.73,5.83
02971,74,2,1,2.215,2.575,2.65,4.57
02975,64,2,1,4.63,NA,3.8899999999999997,NA
02976,31,2,1,5.075,4.975,4.99,4.8100000000000005
02981,68,2,1,5.805,5.77,4.09,5.95
02982,60,2,1,4.7,5.555,5.41,5.279999999999999
02987,68,2,1,4.8100000000000005,5.135,5.05,4.49
02988,66,2,1,4.39,5.68,5.91,5.58
03004,72,1,1,5.2,4.56,4.2,4.64
03011,64,1,1,NA,2.875,NA,4.98
03013,60,1,1,4.32,4.89,4.75,4.93
03017,46,1,1,NA,4.685,NA,5.119999999999999
03024,71,1,1,NA,4.445,NA,5.05
03026,74,1,1,4.9350000000000005,4.14,6.8100000000000005,5.220000000000001
03027,65,1,1,NA,1.525,NA,4.16
03031,68,1,1,5.175,4.48,5.41,5.1
03035,72,1,1,2.675,1.91,3.16,2.3899999999999997
03040,24,1,1,4.075,3.11,4.27,NA
03043,59,1,1,4.6,5.225,5.260000000000001,6.16
03045,53,1,1,NA,4.25,NA,4.8
03046,35,1,1,4.545,4.61,5.1899999999999995,6.4399999999999995
03051,72,1,1,4.38,4.880000000000001,6.26,4.79
03057,59,1,1,4.715,NA,6.919999999999999,NA
03061,42,1,1,3.32,3.6,4.57,5.55
03069,39,1,1,4.24,4,4.96,5.29
03074,62,1,1,4.205,4.925,4.11,4.61
